"","x"
"1","Cer(d18:0_22:0)"
"2","Cer(d18:0_24:1)"
"3","CoQ10"
"4","DG(18:0_18:1_0:0)"
"5","GalCer(d18:1_24:1)**"
"6","PC(0:0_16:0)"
"7","PC(0:0_20:4)"
"8","PC(14:0_22:6)"
"9","PC(15:0_18:2)"
"10","PC(16:0_16:0)"
"11","PC(16:0_18:1)"
"12","PC(16:0_19:1)"
"13","PC(16:1_0:0)"
"14","PC(17:0_20:3)"
"15","PC(18:0_20:3)"
"16","PC(20:0_0:0)"
"17","PC(20:4_22:6)"
"18","PC(O-16:0_18:2)"
"19","PC(O-16:0_20:3)"
"20","PC(O-16:0_22:4)"
"21","PC(O-18:0_16:0)"
"22","PC(O-18:1_18:2)"
"23","PC(P-18:0_22:6)**"
"24","PE(16:0_0:0)"
"25","PE(16:0_20:4)"
"26","PE(16:0_22:6)"
"27","PE(18:0_0:0)"
"28","PE(18:0_18:1)"
"29","PE(18:2_0:0)"
"30","PE(P-16:0_20:4)"
"31","PE(P-18:0_22:4)"
"32","SM(d18:0_16:0)"
"33","SM(d18:1_12:0)"
"34","SM(d18:1_23:0)"
"35","SM(d18:1_25:0)"
"36","SM(d18:1_26:1)"
"37","SM(d18:2_18:0);SM(d18:1_18:1)"
"38","SM(d19:1_24:1)"
"39","TG(16:0_18:1_24:0)"
"40","TG(16:0_18:2_18:3);TG(16:1_18:2_18:2);TG(16:1_18:2_18:2)"
"41","TG(16:0_20:3_22:4);TG(18:1_18:2_22:4);TG(18:2_18:2_22:3)"
"42","TG(18:1_18:1_20:2);TG(18:1_18:2_20:1)"
"43","TG(18:1_18:2_22:0)"
