Sample_ID	Dataset_Name	Sample_Type
TAM_10	TAM_10_C	Control
TAM_106	TAM_106_C	Control
TAM_109	TAM_109_C	Control
TAM_111	TAM_111_C	Control
TAM_116	TAM_116_C	Control
TAM_120	TAM_120_C	Control
TAM_123	TAM_123_C	Control
TAM_124	TAM_124_C	Control
TAM_125	TAM_125_C	Control
TAM_127	TAM_127_C	Control
TAM_129	TAM_129_C	Control
TAM_13	TAM_13_C	Control
TAM_139	TAM_139_C	Control
TAM_15	TAM_15_C	Control
TAM_150	TAM_150_C	Control
TAM_158	TAM_158_C	Control
TAM_172	TAM_172_C	Control
TAM_173	TAM_173_C	Control
TAM_18	TAM_18_C	Control
TAM_187	TAM_187_C	Control
TAM_188	TAM_188_C	Control
TAM_2	TAM_2_C	Control
TAM_202	TAM_202_C	Control
TAM_203	TAM_203_C	Control
TAM_21	TAM_21_C	Control
TAM_216	TAM_216_C	Control
TAM_223	TAM_223_C	Control
TAM_224	TAM_224_C	Control
TAM_228	TAM_228_C	Control
TAM_233	TAM_233_C	Control
TAM_243	TAM_243_C	Control
TAM_244	TAM_244_C	Control
TAM_263	TAM_263_C	Control
TAM_265	TAM_265_C	Control
TAM_28	TAM_28_C	Control
TAM_307	TAM_307_C	Control
TAM_318	TAM_318_C	Control
TAM_332	TAM_332_C	Control
TAM_340	TAM_340_C	Control
TAM_36	TAM_36_C	Control
TAM_37	TAM_37_C	Control
TAM_38	TAM_38_C	Control
TAM_41	TAM_41_C	Control
TAM_416	TAM_416_C	Control
TAM_418	TAM_418_C	Control
TAM_434	TAM_434_C	Control
TAM_436	TAM_436_C	Control
TAM_45	TAM_45_C	Control
TAM_46	TAM_46_C	Control
TAM_469	TAM_469_C	Control
TAM_486	TAM_486_C	Control
TAM_513	TAM_513_C	Control
TAM_52	TAM_52_C	Control
TAM_56	TAM_56_C	Control
TAM_57	TAM_57_C	Control
TAM_577	TAM_577_C	Control
TAM_59	TAM_59_C	Control
TAM_60	TAM_60_C	Control
