Sample,Fay June 16 Total Area MS1,Fay Late June 16 Total Area MS1,Fay Mid July 16 Total Area MS1,Fay Early Aug 16 Total Area MS1,Fay Aug 16 Total Area MS1,Fay Early Sept 16 Total Area MS1,Fay Late Sept 16 Total Area MS1,Fay Late June 17 Total Area MS1,Fay Early July 17 Total Area MS1,Fay Late July 17 Total Area MS1,Fay Early Aug 17 Total Area MS1,Fay Late Aug 17 Total Area MS1,Fay Early Sept 17 Total Area MS1,Fay Late Sept 17 Total Area MS1,JL 086C Total Area MS1,JL Late July 16 Total Area MS1,JL Dec 17 Total Area MS1,JL Nov 17 Total Area MS1,JL Oct 17 Total Area MS1,KB Early June 16 Total Area MS1,KB Late June 16 Total Area MS1,KB Early July 16 Total Area MS1,KB Mid Aug 16 Total Area MS1,KB Early Aug 16 Total Area MS1,KB Late Aug 16 Total Area MS1,KB Sept 16 Total Area MS1,KB Early July 17 Total Area MS1,KB Late July 17 Total Area MS1,KB Early Aug 17 Total Area MS1,KB Mid Aug 17 Total Area MS1,KB Late Aug 17 Total Area MS1,KB July 22 Rep 1 Total Area MS1,KB July 22 Rep 2 Total Area MS1,KB Aug 22 Rep 1 Total Area MS1,KB Aug 22 Rep 2 Total Area MS1,KB Sept_Oct 22 Rep 1 Total Area MS1,KB Sept_Oct 22 Rep 2 Total Area MS1,Lill Late May 16 Total Area MS1,Lill Mid June 16 Total Area MS1,Lill Late June 16 Total Area MS1,Lill Early July 16 Total Area MS1,Lill Late July 16 Total Area MS1,Lill Aug 16 Total Area MS1,Lill Early Sept 16 Total Area MS1,Lill Mid Sept 16 Total Area MS1,Lill Late June 17 Total Area MS1,Lill Late July 17 Total Area MS1,Lill End July 17 Total Area MS1,Lill Early Aug 17 Total Area MS1,Lill Late Aug 17 Total Area MS1,Lill Oct 17 Total Area MS1,Lill Sept 17 Total Area MS1,Buck Dam Aug 22 Rep 1 Total Area MS1,Buck Dam Aug 22 Rep 2 Total Area MS1,Buck Dam July 22 Rep 1 Total Area MS1,Buck Dam July 22 Rep 2 Total Area MS1,Buck Dam Sept 22 Rep 1 Total Area MS1,Buck Dam Sept 22 Rep 2 Total Area MS1
Label,Fayetteville 16,Fayetteville 16,Fayetteville 16,Fayetteville 16,Fayetteville 16,Fayetteville 16,Fayetteville 16,Fayetteville 17,Fayetteville 17,Fayetteville 17,Fayetteville 17,Fayetteville 17,Fayetteville 17,Fayetteville 17,Jordan Lake,Jordan Lake,Jordan Lake,Jordan Lake,Jordan Lake,Kings Bluff 16,Kings Bluff 16,Kings Bluff 16,Kings Bluff 16,Kings Bluff 16,Kings Bluff 16,Kings Bluff 16,Kings Bluff 17,Kings Bluff 17,Kings Bluff 17,Kings Bluff 17,Kings Bluff 17,Kings Bluff 22,Kings Bluff 22,Kings Bluff 22,Kings Bluff 22,Kings Bluff 22,Kings Bluff 22,Lillington 16,Lillington 16,Lillington 16,Lillington 16,Lillington 16,Lillington 16,Lillington 16,Lillington 16,Lillington 17,Lillington 17,Lillington 17,Lillington 17,Lillington 17,Lillington 17,Lillington 17,Buckhorn Dam,Buckhorn Dam,Buckhorn Dam,Buckhorn Dam,Buckhorn Dam,Buckhorn Dam
PFEESA,0,0,25.12106538,0,0,0,0,0,0,0,0,0,0,0,261.8395303,0,0,175.3572924,14.663437,0,5646.260948,2683.452671,861.5192248,15258.42272,378.0001209,271.0093217,14650.10445,1131.338968,303.3748639,354.6072743,268.6902754,0,0,1700.790622,1613.269128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compound 1,0,0,41.61622276,0,25.46093064,0,0,0,3.8647343,0,1.785714286,0.114311843,63.60913931,14.94112419,221.8618954,0,17.87645384,172.5916403,61.76276786,198.0854895,700.7834399,300.6268524,522.6633323,1696.718298,207.4642807,3005.092861,1045.583408,921.5969751,553.5865489,742.9034874,608.4317032,37.52535497,0,17.3391494,70.59925094,0,14.61412151,0,0.251863792,0,0.151057402,0,2.537692193,0,0.284292822,0,0,3.768844221,0,0,0,0,0.61163706,1.475336822,0,0,0.968133635,0
Compound 2,9.24472353,0,5339.437046,1.369752639,5939.836422,0,0,1176.511955,1298.143911,0,112.8968254,2068.815729,8891.858917,5953.899134,0,0,0,0,0,3484.84233,15781.12967,8877.1212,29074.45035,88125.26308,7714.920501,247420.7862,46783.94509,13656.08319,11860.22741,16733.85738,26354.74986,1542.849899,601.7193664,3888.167939,3843.713216,511.2244898,384.2877668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compound 4 (PFPrESA),0,0,2263.014528,0,798.4381498,0,0,701.4064698,628.9346555,0,0,234.8346289,860.581189,1151.021995,410.2879508,0,86.84425415,392.7225976,113.5952335,2596.30096,252101.4775,164134.6028,38474.36699,363544.8936,4609.404913,8839.010704,1507401.82,349605.8719,65831.74066,39034.93668,20997.63912,112.6605815,20.22610846,35675.79062,35551.76565,281.7872604,233.569376,64.2599278,0,1101.996257,470.040282,150.0987992,141.0409514,358.4489976,207.6759062,303.4663179,581.2534664,2285.59464,64.3958118,2.24905303,251.8849206,467.251816,183.9963834,110.3162231,84.38702584,103.269922,0,25.49884729
Compound 3,0,12.57302138,927.9661017,0,418.8808281,3.531300161,95.8718088,2746.202532,142.6392067,0,32.88690476,1951.646091,4156.499556,3250.777605,16.04696673,0,36.1943016,36.25246666,3.201826433,20467.52508,31918.19573,43246.15102,144706.7313,129952.9244,26088.65848,34812.14358,39969.63593,83063.50089,101410.1851,49377.62805,31369.47723,1642.241379,564.5351234,1740.294438,1347.913323,320.3772418,333.2614943,0,0,0,0,0,0,152.5666446,430.9879176,0,0,0,0,0.207149621,11.14417989,1.392251816,0,3.034183276,0,0,0,1.112966055
Compound 5 (PFBESA),0,42.81944074,6092.766344,18.16936589,1151.795204,1.979668272,165.1819663,2760.267229,1007.526062,33.2375604,14.48412698,2470.126505,2062.278172,3248.722506,496.3936259,419.9468061,578.722606,481.298212,405.4254717,2750.450194,24113.05973,33414.22089,12052.93321,54922.97937,2016.504444,12899.16949,896717.547,392216.1366,189445.9296,50392.1642,12536.98707,1697.768763,491.8153448,48622.05562,37095.26485,6126.891363,8191.759031,257.1841155,56.92121701,1964.233728,981.3192346,386.1275776,371.4982336,1023.628553,867.6143094,1482.3414,2688.482159,5599.246231,1151.75482,43.32386364,860.218254,2059.68523,312.5997234,365.0762721,258.1546637,249.2329271,0,334.5854201
Unknown 1,11870.70469,18122.43869,430534.8063,14022.07719,360011.8294,14554.03959,109300.6518,786055.6259,374612.9672,31636.73763,50437.99603,486384.0116,563486.1358,881873.4726,34895.3872,56878.19675,53360.27675,51650.27208,13747.94665,83150.81847,58306.05497,102635.3503,160099.9792,36012.5375,36705.6103,48220.29419,201571.4712,135719.2504,132894.218,208727.6187,63817.59415,110301.9777,90424.13001,126354.1167,140401.5516,21563.45083,25873.31691,146220.6137,18435.82511,673941.7758,381865.0554,192099.8379,362668.5824,1388690.02,1021287.373,1138608.633,2009728.416,3251488.275,822164.4722,247046.224,491791.6336,1127170.823,34238.7512,37668.04922,33880.52043,22889.27851,1048.505136,19795.53224
Compound 9,0,0,1213.983051,0,869.0448685,0.374531835,0,139.6624473,186.2191711,0,0,452.9797287,891.9143744,1018.884692,347.7774672,25.17368061,71.61616385,247.4884889,136.0080185,26697.67253,168494.5221,37403.20508,335792.0183,635183.0539,41999.47605,614016.1426,153730.2298,65180.16014,42683.01681,44200.01248,108256.4924,1063.471941,587.5581464,2218.484188,2282.637774,624.9226964,538.8546798,0.938628159,0,0,50.55387714,5.953285707,0,0,1.70575693,1.765860039,10.35311518,25.54438861,3.864647463,0,14.38492063,0,20.44995213,2.11557733,0,0,0,0
Compound 6 (PFPeESA),17.87894645,57.67577025,4110.01816,17.20248167,995.9336445,9.309791332,92.8299837,2350.281294,966.9463514,41.20412694,36.01190476,2127.495809,1613.021295,1947.678294,273.91669,376.2709151,696.4092604,233.0622496,370.1589776,1236.308001,1583.667895,4531.434417,8569.500886,9598.538979,796.1026137,2315.726876,68240.45061,111422.7647,108554.6147,40233.57664,5268.858909,922.7941176,494.3178473,2224.645583,2097.084002,568.8311688,796.6543514,335.66787,15.11182752,1355.47931,644.5619335,462.4309672,354.0080609,996.6402291,686.8040749,1230.86985,1763.080052,4784.338358,944.6366782,93.60203598,432.3082011,1504.903148,163.0411658,322.3193408,262.9191864,125.3616201,11.79810311,178.9490421
